	243005
Huntly	151673
Yugo-Bosnia-Igman	183660
subidiary	151151
seating	26792
Expressen	34868
Sofija	189765
FLASH	168673
Telemedicine	230569
Expressed	109516
Beuve-Mery	222658
pervading	102056
Expresses	165888
foreign-controlled	137337
35.49	176423
35.48	199733
Indonesia-blast-Megawati	195108
Bacolod	68883
35.41	199769
Makwetu	68991
35.46	229506
35.45	171698
Madumarov	178791
Verwoerd	33410
Ekelund	85971
5.413	213834
Effort	53586
SOS-Attentats	191105
Gartner	39221
Bacolor	57843
US-Cuba-spy	178259
self-titled	189928
disinformation	22744
Cartoonist	160548
Gaur	201544
disparaging	41217
windfalls	137486
Gaul	97609
Kulen	104370
Padalino	102331
Jasmeet	215348
inflation-adjusted	65350
Qiryat	60590
Seneca	104929
Montazeri	50662
0.6197	199446
KCA	77287
Dairut	129957
KCC	161243
KCM	88047
139.00	57472
KCO	165190
Vavau	189092
0.6198	117505
China-linked	143133
Panicking	135614
Yangchin	236220
frights	151793
KCP	198389
rumpus	69064
Goosen	13181
Stadmann	156681
Top-level	60324
secret-service	182208
sensitively	66937
perturbed	45584
whistleblowing	231563
ROUTE	95052
UN-sanctions	142546
Sithole	15535
Gashoho	152558
7.9644	234874
Wonderbra	172897
Maswadeh	160130
CABOS	40906
Celia	93149
pivot	59109
13th-ranked	116715
Celik	93658
MRFP	93896
Jelev	142787
gleam	148976
glean	64525
Loubser	191844
Peninsula	9834
tantalisingly	63236
Kunming	26087
Alencon	138516
Political-Military	213460
Japanese-like	211977
Bifrost	71255
saris	90421
no-flight	83188
wits	50007
0.9158-60	240898
TERESA	211146
societal	82583
103.5	63743
Abdelwahed	96359
103.7	151383
103.6	82137
103.1	100663
103.3	112401
103.2	96094
Pinzon	129800
witn	169493
Southgate	24445
with	20
103.8	77534
sarin	22638
Redevelopment	106753
abused	8709
71-76-67	185998
monopoly	6278
self-seeking	134995
Beres	91516
tripe	189730
Beret	54723
chomped	145432
unsual	125237
grapefruits	203024
operationally	68977
doggy	197212
abuser	61466
abuses	3646
Berea	174639
trips	6367
mps	226335
Sureshot	146919
Bryon	99716
Malahi	186250
Kusumah	95715
creat	90219
Kanukai	166999
Gatland	85112
Hormats	95462
Rohypnol	100005
hard-core	32701
2.2315	187885
Degrading	151402
follow-up	9614
Hakizimana	130029
putchists	218863
creak	142010
dampens	57644
cream	16304
Orazio	107698
yoga	40940
Verbrugghe	115778
Burnley	20246
sympathetically	68902
warthogs	173761
Euopean	116313
unparalleled	31737
Amadeo	44541
arm-twisting	54436
Gulick	155027
132.01-03	166596
Cochlear	114552
Arikinui	117874
Tirense	169921
indemnify	96939
Bolletieri	148262
Mihoub	113290
waving	9591
Ojila	193784
sheepishly	98603
Durch	236267
Tumbling	225507
brotherhood	23074
Aboucherouane	105831
tricky	15379
paliamentary	135435
tricks	17191
117.11	241656
307.20-307.70	194472
counter-march	203641
Yavuz	89442
Moorhead	103735
Bahawal	234991
legislatures	22912
ever-deepening	188472
US-Haitian	159357
curate	91220
ceramic	43277
Hatendi	82098
Susil	221166
hero-turned-politician	176351
Bakshi	32560
Buhagiar	65153
Farley	71127
Ahmedou	52678
scrupulously	32771
Ireland-abortion	124009
Rzany	145010
Terunori	187058
Huallaga	92607
predawn	44006
Mieczyslaw	120190
Grappelli	127545
Chunichi	75033
Dowie	33265
riots	3341
standard-bearers	130519
nore	161186
nord	154554
conciousness	97084
Karzakan	224391
norm	23246
4-0	7854
Safranchuk	194643
Tearce	239342
Nearest	169355
cone-shaped	125532
Kabuntalan	187201
Swoopes	100874
IBARAKI	83622
Bektas	160263
Conversation	116023
3:40	76394
Comdex	71123
match-losing	173998
669.1	236441
4-4	22371
Sayadi-Estahbanati	140796
Spree	125233
3:46	188481
debarment	206776
Grindelwald	209282
sanction-hit	136474
sans	13601
4-7	30320
ading	137362
Murshed	213512
sang	13858
sand	10983
sane	41314
Bismillah	96450
resoundingly	61014
Evonne	120903
sank	4417
self-employment	59915
Gress	100420
3.286	195589
abbreviated	46278
centre-court	20174
199	16898
198	16169
195	13864
194	16993
197	16289
196	16258
191	17948
190	6748
193	18315
192	16494
19.	29326
tidily	178637
APEC-security	154050
cyber-cafes	140508
Lambot	233927
al-Gheit	163576
non-declared	136761
accreditation	20214
MUSTER	195655
SNECMA	87085
cattle-feed	200243
prevailed	14206
124.68-71	212386
Ogilvy	53151
Ex-champ	71561
St-Ivan	190273
hash	51905
Picula	53272
hasd	226713
republished	127290
Neeson	61394
portrays	30767
four-billion-euro	148193
daunted	68528
expropriates	227290
8.5710	196107
19h	154996
cut-and-thrust	151577
5.1980	190776
PEBBLE	110781
Navales	73130
117.19	198158
Spencer	12447
Visby	75409
Schonborn	198836
Midoriga-Oka	235327
Omorogie	194281
Arina	122609
Arinc	72243
Perak	34982
Rodman	13116
3.954	124167
Harksen	57496
periodic	22618
Jabarah	112090
brandnames	170367
Ego	233331
5.3163	160294
ever-decreasing	229651
5.3165	219738
Alsatian	60476
3.4985	152176
Abongo	148242
Rezo	197575
retroactive	26264
Scorpio	81050
Solakov	199565
traumatized	39605
Difficulties	74417
factoring	71643
Albakov	107879
Madcow-EU-France-Britain	194823
cynics	66741
maneouver	225049
245,000	62173
rudder	31524
Sagalayev	157865
Fayed	35896
odometer	191779
Fayez	31162
Saint-Lary-Soulan	241615
automate	152371
graveside	62896
O-Kie	59533
immobilizing	205948
Muzafar	198471
Provence	47981
more	68
610	26074
Anglovaal	99847
beefburgers	190448
initiated	7525
India-privatise	156051
In-Soo	146809
kerosene	19871
Crippled	76012
EU-Spain-ship	179885
initiates	61008
Woodcutters	161431
Nze	119253
Subic	12041
Cybill	201382
ex-Miami	198117
Adeoye	191449
Nzo	14097
Willows	169567
Nzl	8691
Amador	82380
godown	204291
Foreman-Moorer	189423
Gods	68372
Sammaqa	166317
Pelissier	91842
installing	15695
reinjecting	218731
annullment	98342
learn	5056
Jambay	111321
Goda	101206
bogs	94693
Sangala	65832
meaner	74886
5.2640	150477
130x150mm	218468
Newly-promoted	78044
Louisienne	86608
recapitalize	80533
617	36216
Quinta	108280
Glasgow	8549
McIntyres	189594
hydrophone	205510
huge	1253
Schiaffino	134388
Internationl	187151
hugh	81694
Steinar	90836
dismissed	1814
Nusa	45409
top-selling	31123
19.15	105242
hugs	59237
dismisses	14151
Gower	52272
Mwangi	52331
Thomann	98116
ZRS	91057
thickened	91532
Tarawneh	39847
Bestchastnyk	162484
Gritsun	233220
Gakhal	154691
Jeammes	140367
615	36054
tail-ender	67688
thickener	232275
German-Iranian	136084
0.8126	206809
Flyweight	59733
0.8128	206302
0.9861-64	242140
Tyube	111552
Thuan	58776
job-training	207426
peppy	207180
Ridgewood	100616
inherits	55308
al-Kheima	171271
pirana	220440
merchandised	218948
schoolhouse	102381
dividened	185509
saucy	131321
Verdoot	134957
tantalizingly	151429
Briatore	38619
boomerangs	111270
Sunday-best	149928
Fisheries	12807
Ekaterinburg	92159
browsed	151034
57,500	163615
rueing	72633
Brussels	1942
sauce	35988
SriLanka-Tamil	12281
colleague	6769
molar	183014
Karleusa	241403
Charo	179091
Hye-Rim	96535
9.05	49482
Nothstein	67677
gadget	58741
MS-DOS	80060
191,000	75460
recreation	25196
S.H.	171928
Antonov	19288
a-Tim	172999
ever-shrinking	221655
idols	32180
disapppeared	216916
Markovic	19498
Zatonski	191760
Livuza	147582
fatalism	93396
9.04	87300
everytime	58042
Myrdal	210664
Cabell	221857
Authority	1432
Dzhamlet	228305
courses	10453
poll-leading	64924
Akmal	52065
begrudgery	233232
Leghzaoui	241283
Oswald	35356
Lileikis	55185
shocking	12744
Akmad	172015
Streicher	152403
iBanesto.com	179036
Nishikata	224773
cicadas	205201
NKOREA	47281
13,250	192125
Muzaffar	82969
MEADOWS	205547
Surhoff	165235
0325	92954
4041	28282
diethylamide	226540
Abdeljelil	191772
scoops	55895
0328	219198
Jean-Denis	87788
research	1917
half-chance	81376
Belgium-Renault	237474
Lorena	51131
Report	14142
Soltan	168723
offline	75170
Rwigyema	218306
Jewett	232601
Jihad-i	140525
violaters	171686
Kicklighter	216470
legends-second	85160
Jihad-e	124043
bacteria-contaminated	80869
10.72	107768
10.71	97295
Beant	37821
10.77	90351
10.76	55366
10.75	54824
airway	105427
ecologically	43519
10.79	116411
10.78	81844
0.8316	198605
permananent	175970
Bopolu	138772
carry-on	74975
4-34	81298
Barito	52800
databanks	183218
Nasreem	157978
Nasreen	10488
aproval	168138
Bartholomeos	199460
illegitimately	175935
Thyssen	16518
9,200	54168
Nights	60335
RealNetworks	134060
Nzama	134358
626.0	237844
626.3	171630
Baghuti	204617
terrifyingly	159687
intererst	138679
3,933.5	215244
74-24	188708
74-26	154652
N'diaye	208525
1.4869	133210
3.0-3.5	83322
227-203	188777
1.4860	91122
1.4863	138828
Cambodia-rebels	156383
1.4865	62865
1.4864	234390
1.4867	145695
CPNT	231556
peaceable	108209
2.5225	210976
Musarrat	236522
Shagged	240251
COMSUR	235636
swipe	22132
MINDANAO	206733
military-related	72477
55-7/8	157963
adenovirus	164544
Teletronics	195946
Howatson	228235
CORTINA	69477
calculations	16805
Khasbulatov	20069
rain-soaked	43684
peaceably	82954
Kwabena	161435
5.98	72047
5.99	74999
Kwabene	226379
Dehra	159595
Blodget	214773
5.92	69374
5.93	76911
5.90	50127
5.91	73452
5.96	66677
5.97	65216
5.94	69929
5.95	46242
2-296	192181
Livnat	45187
51.86	223973
Kafar	241294
Tit-for-tat	126234
oilrig	223352
tour-high	178084
Treble	130263
Thailand-floods	205498
Naybet	79893
Cancer	21256
Al-Nasseri	117167
Staviyski	242565
Erceg	149968
dikes	29261
underpinning	36813
dismantling	8477
emirates	22088
graphologist	208136
Cancel	144681
Guixiang	205412
Obholzer	209646
CarnaudMetalbox	74509
theme-based	205228
8-223	184932
suppported	110860
29-22	157926
29-21	238103
29-20	219243
29-27	153642
29-26	96196
29-25	139465
29-24	123823
Muted	153954
Speculative	47309
McCrae	88016
organisations	2155
Metro-Goldwyn-Mayer	53621
guarding	8544
1.5735	85756
Ticaret	176508
1.5733	143651
blond	30398
Mideast-religion	143003
Birenga	236633
75.96	232687
corruption-ridden	183289
odors	106031
Chechen-language	239424
B-shares	11399
152.81	163160
86-80	171715
Ruhuna	43866
Triangle	21859
fermented	69321
Coached	89756
Barghuti	14191
67,800	146957
Coaches	37349
mt-ps	163313
Othello	103889
antagonized	110858
invective	48018
re-entry	21889
Stalingrad	61369
birrs	153238
Kollias	195079
denouncements	234252
re-fight	239928
ex-Arsenal	114715
arch-conservatives	188854
Presov	70111
shake-up	12889
Chenda	99257
McKewen	196754
six-a	87117
Sabiyumva	236874
SAFAD	203537
understands	11721
379.20-379.50	188243
winter-pale	224744
Wongrassamee	236810
discomforts	175375
disembarkation	159843
integrally	222222
Lavagnini	192087
cultivating	39989
Agadir	59903
Jalamah	230846
wording	11641
ambiguities	35991
husband-and-wife	98966
far-flung	30559
exterminate	31012
Deadly	33390
Motown	101711
affix	187264
Amgen	46969
Kabarole	208620
six-floor	158307
overwhelmed	11499
blender	93534
KirchMedia	18933
Cevallos	46140
Epifanio	112599
Premiere	23245
Chuon	127372
8-225	236057
MADANG	145610
Dire	62297
Izvestia	21210
Dirk	16024
Diri	131607
Palash	27300
hookups	168392
Premiers	73413
Moseley-Braun	88175
Franco-Austrian	185450
HongKong-government	237319
Safrica	219540
three-tonne	81561
Lesley	42671
secular	5166
6-0-36-0	192284
Naxalbari	200377
Takakusa	238177
Russia-Lebed	67992
Stylish	91047
distraction	27409
sects	20550
Spain-attack	154195
EPL	67125
Hilversum	54162
Kroldrup	213795
Kyoung-ae	234140
Akuila	173557
271.5	141361
271.4	160843
tanker	4448
Carlier	142032
Sevan	51568
rumored	27277
Criticisms	161410
1.2855	94722
1.2852	220508
1.2850	142941
Milos	25704
bundling	55530
activists	1644
Athough	113942
collectively	17689
US-attacks-Germany	60070
LeCroy	164936
Tractebel	64245
Founders	219730
analog	57241
Safad	45464
Safaa	57729
Booja	205532
Karambi	236032
speed	2494
rebel-buster	211896
Echourouk	203840
Teisan	185276
Safak	93651
Hazaras	37824
Hazarat	235813
working-level	21954
Safar	81141
non-medalist	213213
Young-Dae	120382
Safay	225287
DNSC	222383
Murmansk	29146
ELSA	69627
Capitals	54230
condones	59090
hunter-gatherers	143263
Kisangani	5785
larger-than-life	64616
condoned	30536
Thai-US	76714
shampoos	103936
Fulton	19925
Collomb	201915
Neil	6873
COURIER	157202
al-Husseins	137750
al-Husseini	85589
Ougadougou	150110
film-going	157050
Okawara	129712
44.	42702
175.00	43870
SKorea-trial	93752
bell	10994
Totals	172468
WASHINGTON-The	73115
debt-to-capital	229634
Sowman	216267
Sadvhavana	205615
belt	8327
Cary	40431
Murderer	80172
al-Faruq	24687
DAMASCUS	17263
Carr	13310
Cars	21634
Carp	80845
Caru	234854
non-relevant	231111
proprietor	49790
Cari	118492
extravagant	27949
Caro	53671
Carl	4320
Ben-Ben	81238
Peruzzi	36407
Stoute	42147
Cara	38271
Card	24319
Care	26912
Saboulard	156274
Hayatou	19041
N.C.	135442
electricty	41542
prisoner-exchange	174256
amphibians	117872
adaptable	54193
Hickson	226255
pacemaker	25122
Harriet	53424
Harrier	39082
Hiroshima	7310
Mayta	207980
1.967	188175
Tunisair	116638
1.969	231946
Chintagattu	215978
MANHUNT	235128
Colston	35910
Stockhom	169225
Dreaming	204947
racially-mixed	161772
Agbakoba	99804
CIA-operated	100398
Congress-Front	209354
Kolotukhin	91939
agitation	22627
3.4615	201815
12lb	171277
binding	9201
Beydoun	132355
eve	3535
Lalonde	65180
Micunovic	108595
Kaplinsky	95945
1-0-8-0	126596
Cumba	209917
Bouwer	134001
Norwich	11805
86,500	216753
Barratt	103217
mailing	52535
Stocks-Japan-close	230710
Journal-NBC	181814
Tidal	82548
thickly-populated	135957
Wreathed	192004
l'Oreal	180037
Quader	117140
co-ranked	132590
billion-kronor	113390
Goria	180197
Beamonte	134619
Etendard	149669
0.00-0.00	243079
mid-match	79957
McClandish	231285
Midtjylland	119754
centre-stage	49137
Likud	3798
Devonport	103884
Field-Marshal	167753
Panama-registered	60692
5.2965	169489
Pohang	28666
Quaden	119634
al-Othman	142062
dirtying	222991
Manni	89345
Mbo	84835
Manna	198399
Haas	10431
Sommai	192141
Mba	65094
Alverca	58457
All-time	161144
Manny	43663
Pyongyang-based	74414
Iwakawa	185470
2.70	43730
Mbu	123808
62nd	27977
Tae-Shik	114764
clasped	55840
quick-fix	117327
maxiumum	149067
politely	30815
Component	106656
Marteau	191517
90.50	71208
Pre-summit	221695
Harland	70727
non-scientific	219113
relaxations	98945
no-strike	84379
Deibel	235755
execution	4464
towerblock	237019
truism	132810
Luedecke	234378
Rouba	80612
Nationally	74839
Shkvyrin	91043
audiotex	224760
US-strike	179732
Rouby	147551
Reyners	196490
eery	96953
309.80-310.30	240857
Winslet	68796
Jinhong	221263
tuk-tuks	149387
mudslide	27488
couple	2063
emanating	25512
Jokinen	193999
Thew	195575
Cofras	203088
Buzz	42733
Vaidya	48381
Waltham	125058
Fougerolle	222500
Boncompagni	23173
wagonload	164577
pounds	870
Ther	131002
Rezzag-Bara	183803
WEDDING	122372
Comazar	193087
Juanmi	88074
drug-trafficker	141311
Firearms	25529
Iazuddin	242486
Ozkok	51343
non-membership	184707
sorbet	226817
Kredit	163726
underbelly	79033
Indonesia-Papua	156129
Ibtihal	86462
Japanese-based	103498
Wittey	89604
Chaldean	73870
Nostra	21335
Nishimoto	77012
firecracker	31009
Witter	34987
cupped	157519
behave	15629
Aviation	6398
Two-horse	204511
LEADER	128345
17.98	92732
Hells	76864
Sculley	211441
Liaisons	203839
white-washed	86813
17.90	86573
17.91	137056
Douillet	41068
17.93	127565
17.94	114251
17.95	96664
17.96	142844
17.97	152600
KABUL	4948
391,000	99990
Hella	184535
Flyers	39024
Helli	97857
Hello	37850
dailes	172938
5.0480	188184
Lingnan	74132
Quarter-final	25816
Yumus	210794
Jessye	116030
Lebanon-US	131716
Osu	191562
Ost	92175
rescue-workers	110389
Osh	83144
Muramba	118223
5.0485	188232
Oso	107562
Hachemi	89573
Murambi	139531
canning	84246
Tunica	235443
500-600	81438
1-133	215901
Jean-loup	223984
Productive	174660
Pediatric	171275
terrorists	1904
2:48	205935
disturbingly	141096
legalise	29150
Rahardi	71253
40.54	158818
40.55	233609
non-agression	67040
Pronouncing	219193
40.50	86473
controversies	24214
re-appoints	230255
trans-Georgia	228320
40.58	146556
Tamanrasset	88512
inspects	57702
clustering	141843
Akhmet	127211
1-135	203246
tasting	60419
Nazareno	73145
Capps	221633
Kickers	168946
gases	14111
Akhmed	20452
Cayton	161767
self-justification	183509
Gedeh	91725
Mying	187729
Tahitians	81702
Kopatch	235916
HongKong-NYear	239699
Ratification	58239
Myint	41609
Aracatuba	70355
Jayakar	165412
Auro	232585
Thamrin	108117
1.0100	179462
inthe	60519
1.0106	128890
Schlegel	118015
Al-Haj	97563
Awesome	131253
Colombia-rebel	147629
97.03	117520
Lehnardt	115585
27.55/65	169498
1.8373	227294
Zambri	226895
1.8375	162884
Orchila	74208
helpless	19258
retaliatory	8551
Al-Haq	52111
Lanvin	63285
Germany-kidnap	110352
Barringer	115022
Twine	90551
Apes	183691
soliders	28926
Apex	76712
Enthoven	157461
deadliest	10838
haunt	18040
Cameroon-born	149186
neurosurgery	137023
storm-disrupted	180340
Twins	31811
Tubagus	122884
1976-80	221245
Puligal	206048
A-rated	243170
Apel	92011
unsaturated	196947
Huertas	163689
logistically	53071
Hazen	114479
Senol	38584
Hazel	23299
Bahonar	163421
Wastes	152531
Ex-Taliban	238879
Senor	163317
mineralisation	146081
Kurban	127202
fourth-string	224319
Al-Houwaidi	192255
revision	7295
depredations	118350
mismangement	172495
Testifying	49097
sundresses	199252
suppression	14550
Sudameris	175033
MFUA	112187
Wataru	22990
Ciano	129681
interdicted	106492
crease	12508
transient	51415
QDR	147213
Bergonzi	241422
2100GMT	105951
63.90	200750
Tuur	43895
Hodson	170544
Hamgyong	204270
cubicles	103496
Languedoc-Roussillon	97694
Skweyiya	70717
eighth-biggest	130828
Amenas	186594
Bolivar	39085
Cambodia-KRouge-Sary	234948
Debevec	233803
Pacific-wide	188222
two-seater	55416
detectives	10059
amalgamation	86918
Markale	161172
glows	129920
MacGyver	195133
Tekdal	104074
Brimble	206288
demilitarising	59332
Bank-SAP	81032
carelessly	61412
Argenbright	193837
265.67	242275
inter-dependent	220114
K.T.	75846
Alushi	165666
Monod	51493
9,030	236444
wine-growing	75907
Timour	157466
Lalel	236734
semi-privatised	97615
anti-plague	64749
Monou	231727
Vilmorin	168065
Caraman	133787
minerals	16838
rediscovery	100726
detested	70888
Bashko	184238
real-estate	25244
102.45	116345
Janowksi	84518
Nekounam	242290
9,039	241334
Nanami	91650
129.76	225052
129.75	92762
Negus	67031
Bezborodov	126467
rebel-controlled	22884
591	45791
590	26463
593	44004
592	36539
595	37397
594	45891
Winchester	32907
596	49388
599	53396
598	43043
Transfiguration	202262
unprofitable	25858
US-balloon-Fossett	241559
video	3220
Saavedra	89190
infrastrucure	207252
dynamics	33644
Borren	193778
Wiltord	27809
victor	19474
al-Shehhi	50343
queue-jumping	231163
gun-carriage	156740
waning	20262
Kathryn	33508
themself	231648
multimedia	13333
166.11	234182
midrate	91425
Blockade	94516
Illidza	221262
only-Moslem	230187
flowing	10647
Handels	197685
continously	73301
harassing	20291
Bossongo	157909
Kong-born	74319
Brasilia	20506
Tomorrow	18997
ibis	82064
Natexis	70512
adament	94210
barristers	80678
fifteen	29149
violence-hit	72855
Rizvi	47957
Roshka	166221
maked	228006
information-technology	55152
Klyuchevsky	220425
Argentina-Christmas	178394
Alumax	95212
derby	12046
Beverley	74937
mussel	79689
maket	112400
makes	1870
maker	3627
reprocessing	15034
Santapaola	76768
Pigeon	112651
Khalili	21421
multi-function	136778
self-glorification	210491
NASDA	25735
Grossberg	236427
socialist-leaning	146095
Dominati	173789
nibbling	62471
desiring	92935
CLARIFYING	115598
Solo	17956
Soll	220543
Chuzur	229567
Solh	225418
Pletikosa	90111
Sold	105098
Sole	30327
Temindung	212271
Masami	40814
co-premiers	29140
Ketapang	213249
constitution-making	57402
1.4435	88238
Moulins	125206
Kamenica	83449
Soldini	143986
US-rapper-shot	242557
moutainside	206729
Chatsworth	117570
infantry	8613
pfe	72247
Navarrete	127233
41.9	44431
41.8	54526
41.7	56716
41.6	34806
41.5	38634
41.4	42429
41.3	49124
41.2	45368
41.1	55294
41.0	126200
non-China	127667
senario	173826
2.076	201425
central	377
Maspero	71974
Balikatan	59570
Madam	46931
Madan	35892
268.7	221733
Peizerat	31349
three-volume	159012
Indian-adminstered	192831
